delta,theta,low-alpha,high-alpha,low-beta,high-beta,low-gamma,mid-gamma,timestamp
328666,16494,11480,6649,5245,4791,5655,1312,2022-03-14 00:19:53.377642
419767,47985,17011,6861,8875,7756,4747,2605,2022-03-14 00:19:54.368004
756805,93509,51118,42988,63266,31007,11976,9802,2022-03-14 00:19:55.399497
745613,167995,5587,47691,42597,29057,13855,7190,2022-03-14 00:19:56.393960
2040155,67797,65484,22176,14644,12328,2817,697,2022-03-14 00:19:57.374681
2082590,372995,17458,15480,23254,36500,11186,6058,2022-03-14 00:19:58.365754
1520046,53721,12256,18479,6562,7250,3059,1046,2022-03-14 00:19:59.377144
265797,32008,8015,8302,4319,2454,852,554,2022-03-14 00:20:00.364536
74386,219832,24464,19446,11718,21161,12260,4805,2022-03-14 00:20:01.370533
1328804,107497,21239,52437,35629,15941,17726,4601,2022-03-14 00:20:02.393325
2215294,645692,337899,100268,147420,207523,125354,37437,2022-03-14 00:20:03.373074
1142589,60940,9301,8892,13725,16174,8358,8650,2022-03-14 00:20:04.362990
807536,258657,3624,16634,32777,5542,3857,4712,2022-03-14 00:20:05.376127
510790,349179,69563,99353,55200,28990,32959,8342,2022-03-14 00:20:06.390144
1157731,246792,45523,26955,29121,27020,13390,22443,2022-03-14 00:20:07.370836
153896,93070,59393,37271,37305,15273,15920,20955,2022-03-14 00:20:08.366752
1764472,201304,63574,96849,37387,55043,23117,28831,2022-03-14 00:20:09.374494
1040010,255510,85896,31391,22275,40332,36423,25194,2022-03-14 00:20:10.374647
1106209,149152,12579,9311,12783,15781,8991,4889,2022-03-14 00:20:11.368203
1356976,766544,88740,34117,63138,26953,22434,21130,2022-03-14 00:20:12.383725
1122741,197298,58043,61281,27152,21349,19298,6362,2022-03-14 00:20:13.408709
1032975,313688,57053,143252,98358,93850,54640,24572,2022-03-14 00:20:14.368253
228553,24980,3986,2249,19133,7235,3909,2144,2022-03-14 00:20:15.364042
106572,12823,3543,2228,2732,1318,1171,765,2022-03-14 00:20:16.361894
1267172,559858,10293,64778,70855,27499,60814,71522,2022-03-14 00:20:17.372877
310263,9653,26032,11024,6804,5409,3544,2678,2022-03-14 00:20:18.367713
271174,145970,24165,19581,22750,15280,15188,10093,2022-03-14 00:20:19.369442
885849,202489,123791,59734,26312,19937,16028,14868,2022-03-14 00:20:20.399054
1083338,552596,341232,158481,133290,54996,65054,52218,2022-03-14 00:20:21.363531
2063103,292056,21156,226629,77416,51694,43387,45186,2022-03-14 00:20:22.365607
406314,313262,123722,119365,116869,23094,15031,21171,2022-03-14 00:20:23.365972
286138,12152,1757,2406,2715,3169,3327,3959,2022-03-14 00:20:24.363545
625451,72737,58832,37483,11235,16345,30194,18953,2022-03-14 00:20:25.364583
1331417,299583,36860,42789,20600,24631,21256,28028,2022-03-14 00:20:26.366939
721661,115961,3051,3322,17633,10282,11132,6577,2022-03-14 00:20:27.373396
